distance,offset,rz,dihedral,energy
4.21,0.03,4.209893110282017,88.41,-11.202903871199554
4.22,0.04,4.219810422282024,87.32,-11.202871563897862
4.21,0.12,4.208289438714975,89.07,-11.185405319490036
4.2,0.26,4.191944656123217,88.56,-11.112375921392426
4.15,0.07,4.149409596557081,89.86,-11.076426239127176
4.2,0.4,4.180908992073374,88.9,-11.069890605324918
4.21,0.24,4.20315357796976,85.21,-10.941251511744284
4.2,0.2,4.195235392680607,82.64,-10.921313418948788
4.16,0.25,4.15248118598989,83.83,-10.918844994860512
4.23,0.28,4.220722686934076,83.32,-10.865306493642828
4.22,0.44,4.196998927805439,87.77,-10.859567319990685
4.29,0.37,4.274014506292649,86.69,-10.842242998810155
4.22,0.38,4.202856171700383,83.45,-10.83259827504892
4.22,0.39,4.201940028129863,83.17,-10.809630793576224
4.23,0.48,4.20267771783657,87.15,-10.808450982859336
4.2,0.31,4.188543899734131,80.38,-10.806551836025116
4.19,0.47,4.163556172312318,88.32,-10.796530962998728
4.17,0.42,4.148795005781799,86.73,-10.77877732805777
4.23,0.5,4.200345223907197,86.39,-10.77353115221608
4.21,0.52,4.177762559073936,88.99,-10.772117424147662
4.3,0.4,4.281354925721529,83.53,-10.714168193778736
4.16,0.31,4.14843343926355,78.86,-10.67591675517497
4.27,0.58,4.230425510513097,89.01,-10.662252170450552
4.14,0.14,4.13763217311544,73.13,-10.64523272413318
4.18,0.11,4.178552380908967,73.12,-10.640586977003512
4.19,0.5,4.160060095719773,85.13,-10.640373347662804
4.16,0.38,4.142607874274368,80.36,-10.624023109464972
4.21,0.14,4.207671565129579,73.48,-10.606813911196877
4.21,0.63,4.162595344253391,89.09,-10.598438880732475
4.14,0.35,4.125178784004397,80.76,-10.597678310343278
4.19,0.43,4.167877157498768,80.65,-10.588869873545626
4.26,0.64,4.21165050781757,89.58,-10.58304957356811
4.26,0.68,4.205377509808127,88.96,-10.581317078218229
4.26,0.55,4.224346103244856,85.47,-10.579899669170642
4.44,0.55,4.405802991510175,88.17,-10.564428808356876
4.22,0.56,4.182678567616689,84.76,-10.564399236963393
4.13,0.38,4.1124810029956365,80.99,-10.561919433000815
4.21,0.51,4.178995094517341,83.15,-10.559345938102322
4.19,0.47,4.163556172312318,81.49,-10.55602136832551
4.12,0.25,4.112408053683389,76.15,-10.547684413894508
4.18,0.51,4.14877090232758,83.61,-10.542386613493512
4.39,0.62,4.345998159226485,89.54,-10.539455167091266
4.27,0.6,4.227635272820965,85.9,-10.525209118851658
4.46,0.44,4.4382428955612605,88.18,-10.523244740505111
4.19,0.54,4.155057159654968,84.36,-10.518519285887123
4.2,0.6,4.156921938165306,86.19,-10.513837302571588
4.2,0.16,4.196951274437196,72.31,-10.503861398764617
4.38,0.64,4.332989729967058,88.59,-10.485864962840749
4.2,0.63,4.15248118598989,86.81,-10.484349448970994
4.31,0.21,4.304880950734875,75.11,-10.479544323212195
4.24,0.44,4.217108013793339,79.37,-10.470021960048197
4.19,0.42,4.168896736547933,78.23,-10.469644333590225
4.12,0.37,4.103352288068866,80.31,-10.467916900959985
4.27,0.68,4.2155070869350935,88.09,-10.467458605070922
4.26,0.5,4.230555519077843,81.01,-10.461043864731955
4.3,0.72,4.239292393784604,86.46,-10.449680838628431
4.24,0.59,4.198749813932714,82.78,-10.44870491825942
4.19,0.31,4.178516483155236,75.62,-10.446295325703572
4.24,0.48,4.212742574618107,80.13,-10.440910422576009
4.19,0.44,4.1668333300001335,78.68,-10.437553610095486
4.18,0.63,4.132251202431914,88.33,-10.426965381239372
4.23,0.42,4.20909729039375,78.12,-10.423446886539317
4.18,0.29,4.169928056933356,74.82,-10.420372030371464
4.26,0.62,4.214641147238991,84.18,-10.388859320303268
4.28,0.75,4.21377502959045,87.06,-10.386187834155203
4.22,0.6,4.177128200091541,82.92,-10.382744739103488
4.19,0.22,4.184220357485968,72.08,-10.36939487734893
4.16,0.27,4.151228733760644,73.73,-10.35811279055409
4.2,0.23,4.19369765243037,72.17,-10.356531280875522
4.18,0.44,4.15677759809206,77.29,-10.34327300539687
4.14,0.29,4.129830504996543,73.22,-10.334034208108935
4.22,0.69,4.163207897763455,86.04,-10.329278624222018
4.2,0.73,4.136073016763606,88.83,-10.305935486083904
4.16,0.29,4.149879516323336,73.59,-10.304913389822309
4.22,0.51,4.189069109002619,79.33,-10.293294542515154
4.45,0.66,4.400784021058066,87.97,-10.292737416351828
4.28,0.8,4.204568943423332,87.51,-10.291901003295555
4.14,0.49,4.110900144737159,80.78,-10.284845187311394
4.22,0.68,4.164852938580185,84.16,-10.283278830728358
4.16,0.29,4.149879516323336,73.14,-10.272002773696713
4.15,0.5,4.119769411022904,80.14,-10.265969086612
4.19,0.47,4.163556172312318,77.09,-10.265821958235604
4.2,0.35,4.185391260085489,73.08,-10.26401871932147
4.03,0.15,4.02720746920245,72.83,-10.25460013679155
4.23,0.7,4.171678319333839,84.39,-10.25284470594804
4.46,0.65,4.412380309991423,87.09,-10.24408077023954
4.12,0.37,4.103352288068866,75.4,-10.24209135366552
4.01,0.1,4.0087529232917305,72.34,-10.23689995059839
4.22,0.22,4.214261501141095,70.51,-10.231133735075588
4.47,0.68,4.417974649089784,87.7,-10.227576476593
4.39,0.89,4.298837052040935,88.3,-10.220705360505187
4.29,0.86,4.202915654637861,88.28,-10.210757065219086
4.23,0.74,4.16476890115166,85.16,-10.210081583890062
4.41,0.93,4.310823587204654,89.24,-10.187835022344508
4.23,0.53,4.196665342864499,77.13,-10.185101053825818
4.23,0.78,4.157463168808596,86.85,-10.1831935874422
4.25,0.67,4.196855966077464,82.59,-10.18208065418421
4.17,0.52,4.137450906053147,78.27,-10.177609714256954
4.25,0.18,4.2461865244004535,69.56,-10.176354704676946
4.17,0.7,4.11082716737155,88.0,-10.176286453610285
4.1,0.1,4.098780306383839,67.44,-10.16961135893735
4.16,0.54,4.124803025600132,80.02,-10.164246563117478
4.19,0.44,4.1668333300001335,76.1,-10.163216163001191
4.15,0.26,4.141847413896365,70.03,-10.16235428061242
4.21,0.42,4.188997493434437,73.81,-10.15869987860838
4.22,0.8,4.143476800948691,88.67,-10.15129954236412
4.46,0.75,4.396487234145005,87.47,-10.149721873679376
4.22,0.64,4.171186881452328,80.68,-10.147569243760287
4.22,0.63,4.172708952227557,80.04,-10.146790983868462
4.43,0.95,4.326938871766043,89.59,-10.14433053040774
4.22,0.27,4.211353701602372,70.61,-10.13250707989205
4.21,0.46,4.184793901735186,74.61,-10.131774497692918
4.48,0.79,4.4097959136449845,89.05,-10.121159698841735
4.31,0.78,4.238832386400764,83.15,-10.106444757326846
