Bin_Index,Bin_Start,Bin_End,Initial_Percentage,Optimal_Percentage,Recovery_Rate,FP_Reduction_Rate,Sum_Objective,Constraint_Status
0,0,2,60,52,20.930232558139537,50.0,70.93023255813954,PARTIAL
1,2,4,55,46,28.837209302325583,58.97435897435898,87.81156827668457,PARTIAL
2,4,6,50,45,31.16279069767442,48.717948717948715,79.88073941562314,PARTIAL
3,6,8,45,35,32.093023255813954,55.00000000000001,87.09302325581396,PARTIAL
4,8,10,40,31,30.697674418604652,70.0,100.69767441860465,PARTIAL
5,10,12,35,29,27.906976744186046,65.71428571428571,93.62126245847176,PARTIAL
6,12,14,30,22,25.116279069767444,81.08108108108108,106.19736015084852,PARTIAL
7,14,16,25,20,13.953488372093023,82.75862068965517,96.7121090617482,PARTIAL
8,16,18,20,10,6.976744186046512,96.7741935483871,103.75093773443362,PARTIAL
9,18,20,15,5,2.7906976744186047,97.5,100.29069767441861,PARTIAL
10,20,22,10,5,3.255813953488372,100.0,103.25581395348837,PARTIAL
11,22,24,10,14,9.30232558139535,96.42857142857143,105.73089700996678,PARTIAL
12,24,26,10,0,0.0,100.0,100.0,PARTIAL
13,26,28,10,8,6.046511627906977,100.0,106.04651162790698,PARTIAL
14,28,30,10,2,1.3953488372093024,100.0,101.3953488372093,PARTIAL
15,30,32,10,4,2.3255813953488373,100.0,102.32558139534883,PARTIAL
16,32,34,10,2,1.3953488372093024,100.0,101.3953488372093,PARTIAL
17,34,36,10,6,3.7209302325581395,100.0,103.72093023255815,PARTIAL
18,36,38,10,3,2.7906976744186047,100.0,102.79069767441861,PARTIAL
19,38,40,10,0,0.0,100.0,100.0,PARTIAL
20,40,42,10,9,6.511627906976744,97.43589743589743,103.94752534287417,PARTIAL
21,42,44,10,1,0.46511627906976744,100.0,100.46511627906976,PARTIAL
22,44,46,10,1,0.46511627906976744,100.0,100.46511627906976,PARTIAL
23,46,48,10,4,2.7906976744186047,100.0,102.79069767441861,PARTIAL
24,48,50,10,5,3.255813953488372,97.77777777777777,101.03359173126614,PARTIAL
25,50,52,10,11,6.976744186046512,97.2972972972973,104.27404148334382,PARTIAL
26,52,54,10,10,6.046511627906977,97.5,103.54651162790698,PARTIAL
27,54,56,10,8,6.976744186046512,95.23809523809523,102.21483942414174,PARTIAL
28,56,58,10,0,0.0,100.0,100.0,PARTIAL
29,58,60,10,9,5.116279069767442,97.91666666666666,103.0329457364341,PARTIAL
30,60,62,10,1,0.9302325581395349,100.0,100.93023255813954,PARTIAL
31,62,64,10,20,13.023255813953488,90.9090909090909,103.93234672304439,PARTIAL
32,64,66,10,0,0.0,100.0,100.0,PARTIAL
33,66,68,10,12,8.372093023255815,98.0392156862745,106.41130870953032,PARTIAL
34,68,70,10,1,0.9302325581395349,100.0,100.93023255813954,PARTIAL
35,70,72,10,12,9.767441860465116,94.82758620689656,104.59502806736167,PARTIAL
36,72,74,10,0,0.0,100.0,100.0,PARTIAL
37,74,76,10,5,5.116279069767442,96.7741935483871,101.89047261815455,PARTIAL
38,76,78,10,8,6.046511627906977,96.96969696969697,103.01620859760395,PARTIAL
39,78,80,10,0,0.0,100.0,100.0,PARTIAL
40,80,82,10,3,2.7906976744186047,98.57142857142858,101.3621262458472,PARTIAL
41,82,84,10,10,8.837209302325581,92.1875,101.02470930232558,PARTIAL
42,84,86,10,2,2.3255813953488373,98.38709677419355,100.71267816954239,PARTIAL
43,86,88,10,1,1.3953488372093024,100.0,101.3953488372093,PARTIAL
44,88,90,10,6,5.116279069767442,98.36065573770492,103.47693480747236,PARTIAL
