Bin_Index,Bin_Start,Bin_End,Optimal_Percentage,Recovery_Rate,FP_Rate,Sum_Objective
0,0,2,1,0.9302325581395349,100.0,100.93023255813954
1,2,4,16,19.069767441860467,97.43589743589743,116.5056648777579
2,4,6,3,6.046511627906977,100.0,106.04651162790698
3,6,8,21,25.581395348837212,77.5,103.08139534883722
4,8,10,17,21.86046511627907,85.0,106.86046511627907
5,10,12,9,11.162790697674419,94.28571428571428,105.4485049833887
6,12,14,22,25.116279069767444,81.08108108108108,106.19736015084852
7,14,16,11,8.372093023255815,96.55172413793103,104.92381716118685
8,16,18,4,4.186046511627907,100.0,104.18604651162791
9,18,20,3,1.8604651162790697,100.0,101.86046511627907
10,20,22,5,3.255813953488372,100.0,103.25581395348837
11,22,24,14,9.30232558139535,96.42857142857143,105.73089700996678
12,24,26,2,0.9302325581395349,96.66666666666667,97.59689922480621
13,26,28,8,6.046511627906977,100.0,106.04651162790698
14,28,30,2,1.3953488372093024,100.0,101.3953488372093
15,30,32,4,2.3255813953488373,100.0,102.32558139534883
16,32,34,2,1.3953488372093024,100.0,101.3953488372093
17,34,36,6,3.7209302325581395,100.0,103.72093023255815
18,36,38,3,2.7906976744186047,100.0,102.79069767441861
19,38,40,1,0.0,100.0,100.0
20,40,42,9,6.511627906976744,97.43589743589743,103.94752534287417
21,42,44,1,0.46511627906976744,100.0,100.46511627906976
22,44,46,1,0.46511627906976744,100.0,100.46511627906976
23,46,48,4,2.7906976744186047,100.0,102.79069767441861
24,48,50,5,3.255813953488372,97.77777777777777,101.03359173126614
25,50,52,11,6.976744186046512,97.2972972972973,104.27404148334382
26,52,54,10,6.046511627906977,97.5,103.54651162790698
27,54,56,8,6.976744186046512,95.23809523809523,102.21483942414174
28,56,58,1,0.46511627906976744,97.77777777777777,98.24289405684753
29,58,60,9,5.116279069767442,97.91666666666666,103.0329457364341
30,60,62,1,0.9302325581395349,100.0,100.93023255813954
31,62,64,21,14.418604651162791,90.9090909090909,105.3276955602537
32,64,66,2,0.46511627906976744,96.36363636363636,96.82875264270612
33,66,68,12,8.372093023255815,98.0392156862745,106.41130870953032
34,68,70,1,0.9302325581395349,100.0,100.93023255813954
35,70,72,12,9.767441860465116,94.82758620689656,104.59502806736167
36,72,74,5,4.651162790697675,94.64285714285714,99.29401993355481
37,74,76,5,5.116279069767442,96.7741935483871,101.89047261815455
38,76,78,8,6.046511627906977,96.96969696969697,103.01620859760395
39,78,80,1,0.0,98.07692307692307,98.07692307692307
40,80,82,3,2.7906976744186047,98.57142857142858,101.3621262458472
41,82,84,10,8.837209302325581,92.1875,101.02470930232558
42,84,86,2,2.3255813953488373,98.38709677419355,100.71267816954239
43,86,88,1,1.3953488372093024,100.0,101.3953488372093
44,88,90,6,5.116279069767442,98.36065573770492,103.47693480747236
